"name","id"
"Citronella oil","ev:E00557"
"Citronella oil","ev:E00715"
"Citrus immature fruit and fruit peel","ev:E00338"
"Citrus medica flower","ev:E00622"
"Citrus medica fruit peel","ev:E00441"
"Citrus peel","ev:E00194"
"Citrus unshiu peel","ev:E00134"
"Civet","ev:E00849"
"Clary sage oil","ev:E00659"
"Clematis root","ev:E00068"
"Clerodendrum canescens root","ev:E00610"
"Clerodendrum trichotomum root","ev:E00609"
"Clerodendrum yunnanense root","ev:E00611"
"Clove","ev:E00018"
"Clove fruit","ev:E00315"
"Clove oil","ev:E00182"
"Cnidium monnieri fruit","ev:E00111"
"Cnidium officinale rhizome","ev:E00119"
"Cnidium rhizome","ev:E00119"
"Coca leaf","ev:E00398"
"Codonopsis root","ev:E00298"
"Coffee","ev:E00843"
"Coicis fructus cum involucris","ev:E00845"
"Coix extract","ev:E00167"
"Coix fruit with involucre","ev:E00845"
"Coix seed","ev:E00167"
"Colchicum bulb","ev:E00399"
"Colchicum seed","ev:E00399"
"Colofonium","ev:E00172"
"Coltsfoot","ev:E00778"
"Colubridae slough","ev:E00517"
"Colubridae slough","ev:E00646"
"Comfrey","ev:E00779"
"Common mallow","ev:E00763"
"Common rush","ev:E00299"
"Conandri herba","ev:E00468"
"Conandron ramondioides herb","ev:E00468"
"Condurango","ev:E00098"
"Condurango extract","ev:E00029"
"Condurango fluidextract","ev:E00029"
"Conker tree","ev:E00812"
"Coptis rhizome","ev:E00001"
"Cordyceps sinensis","ev:E00300"
"Coriander oil","ev:E00661"
"Coriandrum sativum fruit","ev:E00269"
"Coriandrum sativum herb","ev:E00551"
"Corn silk","ev:E00329"
"Corni fructus pulveratus","ev:E00103"
"Cornus fruit","ev:E00103"
"Corydalis bungeana herb","ev:E00628"
"Corydalis tuber","ev:E00060"
"Cowberry leaf","ev:E00334"
"Cowslip","ev:E00809"
"Cranberry","ev:E00775"
"Crataegi fructus","ev:E00195"
"Crataegus fruit","ev:E00195"
"Croton seed","ev:E00368"
"Crude glycyrrhiza extract","ev:E00177"
"Cubrbae fructus","ev:E00449"
"Cucubalus baccifer root","ev:E00694"
"Curare","ev:E00397"
"Curculigo rhizome","ev:E00316"
"Curcuma aeruginosa tuberous root","ev:E00655"
"Curcuma kwangsiensis rhizome","ev:E00658"
"Curcuma longa tuberous root","ev:E00651"
"Curcuma tuberous root","ev:E00654"
"Curcuma wenyujin rhizome","ev:E00652"
"Curcuma wenyujin tuberous root","ev:E00653"
"Cuscuta seed","ev:E00301"
"Cuttlefish oracle bones","ev:E00521"
"Cyathula capitata root","ev:E00691"
"Cyathula officinalis root","ev:E00690"
"Cylindrical Cinnamon bark","ev:E00567"
"Cynanchi stauntoni rhizoma et radix","ev:E00414"
"Cynanchum root","ev:E00369"
"Cynanchum root and rhizome","ev:E00414"
"Cynomorium herb","ev:E00274"
"Cyperus rhizome","ev:E00091"
"Cypraeae concha","ev:E00522"
"Cypraeidae shell","ev:E00522"
"Daemonorops draco resin","ev:E00383"
"Dandelion","ev:E00788"
"Daphne flower bud","ev:E00370"
"Dark male donkey sex organ","ev:E00866"
"Daturae folium","ev:E00859"
"Daucus carota fruit","ev:E00455"
"Dayflower","ev:E00292"
"Deer velvet","ev:E00319"
"Dendrobium","ev:E00284"
"Dendrobium chrysanthum stem","ev:E00751"
"Descurainia seed","ev:E00293"
"Desmodii herba","ev:E00471"
"Desmodium styracifolium herb","ev:E00471"
"Devil's claw","ev:E00792"
"Dextran sulfate cellulose","ev:E00853"
"Dianthus above ground part","ev:E00264"
"Dianthus herb","ev:E00582"
"Dichroa febrifuga root","ev:E00426"
"Dichroae radix","ev:E00426"
"Dictamnus root bark","ev:E00303"
"Digenea","ev:E00161"
"Digitalis","ev:E00230"
"Dioscorea bulbifera tuber","ev:E00371"
"Dioscorea hypoglauca Dioscorea tokoro rhizome","ev:E00306"
"Dioscorea nipponica root","ev:E00614"
"Dioscorea rhizome","ev:E00106"
"Dioscorea septemloba Dioscorea futschauensis rhizome","ev:E00583"
"Dipsacus asperoides root","ev:E00324"
"Dodder seed","ev:E00301"
"Dokkatsu","ev:E00186"
"Dolichos seed","ev:E00179"
"Donkey glue","ev:E00189"
"Dracaena resin","ev:E00739"
"Dragon's blood","ev:E00836"
"Dried egg yolk powder","ev:E00865"
"Drynaria rhizome","ev:E00424"
"Drynariae rhizoma","ev:E00424"
"Dryobalanops aromatica resin","ev:E00550"
"Dryopteris Athyrium rhizome","ev:E00425"
"Earthworm","ev:E00209"
"Echinacea","ev:E00764"
"Echinops grijisii root","ev:E00618"
"Echinops latifolius root","ev:E00428"
"Eclipta prostrata herb","ev:E00384"
"Egg yolk","ev:E00865"
"Elder","ev:E00285"
"Elder flowers","ev:E00765"
"Eleuthero","ev:E00180"
"Eleutherococcus senticosus rhizome","ev:E00180"
"Elfvingia","ev:E00509"
"Elsholtzia herb","ev:E00385"
"Ephedra herb","ev:E00160"
"Epimedium herb","ev:E00174"
"Equisetum herb","ev:E00386"
"Eretmochelyos carapax","ev:E00520"
"Eretmochelys imbricata carapace","ev:E00520"
"Eriocaulon capitulum","ev:E00638"
"Eriocaulon herb","ev:E00490"
"Erionite","ev:E00838"
"Erythrina indica bark","ev:E00387"
"Eucalayptus","ev:E00825"
"Eucalyptus oil","ev:E00044"
"Eucommia bark","ev:E00140"
"Eupatorium fortunei herb","ev:E00752"
"Eupatorium herb","ev:E00754"
"Euphorbia helioscopia stem and leaf","ev:E00393"
"Euphorbia herb","ev:E00634"
"Euphorbia kansui radix","ev:E00388"
"Euphorbia kansui root","ev:E00388"
"Euphorbia lathyris seed","ev:E00443"
"Euphorbia pekinensis root","ev:E00595"
"Euphorbia root","ev:E00602"
"Euphorbiae lathyridis semen","ev:E00443"
"Eupolyphaga","ev:E00527"
"Euryale ferox seed","ev:E00451"
"Euryales semen","ev:E00451"
"Evening promrose","ev:E00761"
"Evodia fruit","ev:E00002"
"Exsiccated gypsum","ev:E00181"
"Extract of wild cherry","ev:E00570"
"Faeces leporum","ev:E00511"
"Fennel","ev:E00057"
"Fennel oil","ev:E00023"
"Fennel oil bitter","ev:E00023"
"Fenugreek seed","ev:E00273"
"Ferula assa-foetida resin","ev:E00502"
"Feverfew","ev:E00805"
"Ficis pumilae caulis","ev:E00501"
"Ficus pumila leaf and stem","ev:E00501"
"Firmiana platanifolia seed","ev:E00453"
"Firmianae semen","ev:E00453"
"Flaxseed","ev:E00446"
"Fluorite","ev:E00540"
"Flying squirrel feces","ev:E00272"
"Forsythia fruit","ev:E00034"
"Foxtail millet seed","ev:E00863"
"Frankincense","ev:E00682"
"Frankincense","ev:E00716"
"Fresh-water turtle plastron","ev:E00263"
"Fritillaria bulb","ev:E00144"
"Gaiyo","ev:E00191"
"Galbanum oil","ev:E00663"
"Galla halepensis","ev:E00506"
"Galli stomachichum corium","ev:E00525"
"Gallnut","ev:E00271"
"Gambir","ev:E00053"
"Ganoderma applanatum fruit body","ev:E00509"
"Ganoderma lucidum fruit body","ev:E00389"
"Gardenia fruit","ev:E00102"
"Garlic","ev:E00769"
"Gastrodia tuber","ev:E00135"
"Gecko","ev:E00267"
"Gentian","ev:E00088"
"Gentiana lourerii herb","ev:E00629"
"Gentiana macrophylla root","ev:E00280"
"Gentianae macrophyllae radix","ev:E00280"
"Geranium herb","ev:E00026"
"Geranium oil","ev:E00556"
"German chamomile","ev:E00781"
"German chamomile flower","ev:E00322"
"Germinated barley","ev:E00255"
"Ginger","ev:E00115"
"Ginger oil","ev:E00664"
"Ginkgo","ev:E00760"
"Ginseng","ev:E00790"
"Glauberite","ev:E00545"
"Glauberitum","ev:E00545"
"Glechoma hederacea herb","ev:E00331"
"Gleditsia sinensis fruit","ev:E00621"
"Gleditsia sinensis seed","ev:E00433"
"Gleditsia sinensis spine","ev:E00499"
"Gleditsiae spina","ev:E00499"
"Glehnia root","ev:E00147"
"Globe artichoke","ev:E00756"
"Glochidion shaft","ev:E00750"
"Glycyrrhiza","ev:E00027"
"Glycyrrhiza extract","ev:E00177"
"Glycyrrhizae radix","ev:E00027"
"Goldenseal","ev:E00777"
"Goma","ev:E00252"
"Granati cortex","ev:E00495"
"Grape seed","ev:E00776"
"Grapefruit","ev:E00839"
"Grapefruit juice","ev:E00839"
"Grapefruit oil","ev:E00560"
"Gratati radix cortex","ev:E00495"
"Grinded paste of Ulmus macrocarpia key fruit with flower and leaf","ev:E00505"
"Guarana","ev:E00771"
"Gypsum","ev:E00006"
"Haliotis shell","ev:E00356"
"Halloysitum rubrum","ev:E00541"
"Hawthorn","ev:E00813"
"Heath","ev:E00803"
"Heather","ev:E00803"
"Hedysarum root","ev:E00852"
"Hematite","ev:E00327"
"Hematophagous tabanid","ev:E00531"
"Hemp fruit","ev:E00162"
"Hibiscus syriacus bark","ev:E00348"
"Hippocampus","ev:E00297"
"Hirudo","ev:E00510"
"Holotrichia larva","ev:E00534"
"Holotrichiae vermiculus","ev:E00534"
"Homalomena rhizome","ev:E00410"
"Homalonemae rhizoma","ev:E00410"
"Hominis placenta","ev:E00524"
"Honey","ev:E00146"
"Honey purified","ev:E00146"
"Hop strobile","ev:E00846"
"Hordei fructus germinatus","ev:E00255"
"Horse chestnut","ev:E00812"
"Horsetail","ev:E00782"
"Houttuynia herb","ev:E00113"
"Hovenia dulcis fruit or seed","ev:E00447"
"Hoveniae semen seu fructus","ev:E00447"
"Huechys","ev:E00530"
"Human placenta","ev:E00524"
"Hydnocarpi semen","ev:E00431"
"Hydnocarpus anthelmintica seed","ev:E00431"
"Hydrangea root","ev:E00612"
"Hydrated halloysite","ev:E00192"
"Hydrozincitum","ev:E00539"
"Hypericum ascyron herb","ev:E00740"
"Hypericum herb","ev:E00326"
"Iceland lichen","ev:E00757"
"Iceland moss","ev:E00757"
"Immature citrus unshiu peel","ev:E00338"
"Immature orange","ev:E00078"
"Imperata rhizome","ev:E00156"
"Indian long pepper fruit","ev:E00307"
"Indicae mastiche","ev:E00504"
"Indigo","ev:E00363"
"Indigofera root","ev:E00666"
"Inula flower","ev:E00287"
"Inula root","ev:E00328"
"Ipe Roxo","ev:E00799"
"Ipecac","ev:E00021"
"Iridis semen","ev:E00462"
"Iris pallasii seed","ev:E00462"
"Isatis root","ev:E00362"
"Isodon herb","ev:E00215"
"Ispaghula","ev:E00046"
"Jaborandi leaf","ev:E00402"
"Japanese angelica root","ev:E00138"
"Japanese gentian","ev:E00169"
"Japanese valerian","ev:E00072"
"Japanese yew","ev:E00848"
"Jasmine oil","ev:E00552"
"Java tea","ev:E00774"
"Jujube","ev:E00128"
"Jujube seed","ev:E00105"
"Juniper oil","ev:E00668"
"Kaempferia galanga rhizome","ev:E00353"
"Kaki calyx","ev:E00203"
"Kalopanax pictus bark","ev:E00745"
"Karonin","ev:E00193"
"Kasseki","ev:E00192"
"Kava","ev:E00770"
"Keishi","ev:E00249"
"KINO","ev:E00747"
"Kippi","ev:E00194"
"Knoxia valerianoides root","ev:E00408"
"Kobei","ev:E00251"
"Kochia scoparia fruit","ev:E00364"
"Kochia sieversiana fruit","ev:E00707"
"Koi","ev:E00250"
"La Pacho","ev:E00799"
"Labdanum oil","ev:E00671"
"Lapis chloriti","ev:E00548"
"Lappula echinata fruit","ev:E00626"
"Lard","ev:E00042"
"Large gentian root","ev:E00280"
"Lavandin oil","ev:E00555"
"Lavender","ev:E00827"
"Lavender oil","ev:E00554"
"Lavender oil spike","ev:E00729"
"Leech","ev:E00510"
"Lemon balm","ev:E00831"
"Lemon grass","ev:E00830"
"Lemon oil","ev:E00240"
"Lemon tincture","ev:E00240"
